raw_score,mcq_score,ans_score,year,scaled_score,mcqs,ans,questions,mcq_prop,ans_prop,prop
26,19,7,2009,540,42,12,54,0.452380952,0.583333333,0.481481481
20,15,5,2009,500,42,12,54,0.357142857,0.416666667,0.37037037
25,18,7,2009,530,42,12,54,0.428571429,0.583333333,0.462962963
27,22,5,2009,550,42,12,54,0.523809524,0.416666667,0.5
25,19,6,2009,530,42,12,54,0.452380952,0.5,0.462962963
24,17,7,2009,520,42,12,54,0.404761905,0.583333333,0.444444444
27,19,8,2009,550,42,12,54,0.452380952,0.666666667,0.5
29,21,8,2009,570,42,12,54,0.5,0.666666667,0.537037037
25,18,7,2009,530,42,12,54,0.428571429,0.583333333,0.462962963
25,20,5,2009,530,42,12,54,0.476190476,0.416666667,0.462962963
24,18,6,2009,520,42,12,54,0.428571429,0.5,0.444444444
24,18,6,2009,520,42,12,54,0.428571429,0.5,0.444444444
28,20,8,2009,560,42,12,54,0.476190476,0.666666667,0.518518519
27,20,7,2009,550,42,12,54,0.476190476,0.583333333,0.5
24,19,5,2009,520,42,12,54,0.452380952,0.416666667,0.444444444
21,17,4,2009,510,42,12,54,0.404761905,0.333333333,0.388888889
25,19,6,2009,530,42,12,54,0.452380952,0.5,0.462962963
23,19,4,2009,510,42,12,54,0.452380952,0.333333333,0.425925926
21,15,6,2009,510,42,12,54,0.357142857,0.5,0.388888889
30,23,7,2009,570,42,12,54,0.547619048,0.583333333,0.555555556
29,24,5,2010,570,42,12,54,0.571428571,0.416666667,0.537037037
29,21,8,2010,570,42,12,54,0.5,0.666666667,0.537037037
31,24,7,2010,570,42,12,54,0.571428571,0.583333333,0.574074074
24,18,6,2010,520,42,12,54,0.428571429,0.5,0.444444444
28,20,8,2010,560,42,12,54,0.476190476,0.666666667,0.518518519
32,25,7,2010,580,42,12,54,0.595238095,0.583333333,0.592592593
29,23,6,2010,570,42,12,54,0.547619048,0.5,0.537037037
33,25,8,2010,590,42,12,54,0.595238095,0.666666667,0.611111111
32,24,8,2010,580,42,12,54,0.571428571,0.666666667,0.592592593
30,21,9,2010,570,42,12,54,0.5,0.75,0.555555556
30,23,7,2010,570,42,12,54,0.547619048,0.583333333,0.555555556
29,21,8,2010,570,42,12,54,0.5,0.666666667,0.537037037
31,23,8,2010,570,42,12,54,0.547619048,0.666666667,0.574074074
28,20,8,2010,560,42,12,54,0.476190476,0.666666667,0.518518519
30,23,7,2010,570,42,12,54,0.547619048,0.583333333,0.555555556
30,22,8,2010,570,42,12,54,0.523809524,0.666666667,0.555555556
30,21,9,2010,570,42,12,54,0.5,0.75,0.555555556
28,20,8,2010,560,42,12,54,0.476190476,0.666666667,0.518518519
26,19,7,2010,540,42,12,54,0.452380952,0.583333333,0.481481481
31,25,6,2010,570,42,12,54,0.595238095,0.5,0.574074074
31,24,7,2010,570,42,12,54,0.571428571,0.583333333,0.574074074
30,23,7,2010,570,42,12,54,0.547619048,0.583333333,0.555555556
29,22,7,2010,570,42,12,54,0.523809524,0.583333333,0.537037037
29,23,6,2010,570,42,12,54,0.547619048,0.5,0.537037037
30,23,7,2010,570,42,12,54,0.547619048,0.583333333,0.555555556
32,25,7,2010,580,42,12,54,0.595238095,0.583333333,0.592592593
29,20,9,2010,570,42,12,54,0.476190476,0.75,0.537037037
29,21,8,2010,570,42,12,54,0.5,0.666666667,0.537037037
29,21,8,2010,570,42,12,54,0.5,0.666666667,0.537037037
30,24,6,2010,570,42,12,54,0.571428571,0.5,0.555555556
28,21,7,2010,560,42,12,54,0.5,0.583333333,0.518518519
26,18,8,2010,540,42,12,54,0.428571429,0.666666667,0.481481481
30,21,9,2010,570,42,12,54,0.5,0.75,0.555555556
32,24,8,2010,580,42,12,54,0.571428571,0.666666667,0.592592593
30,21,9,2010,570,42,12,54,0.5,0.75,0.555555556
30,21,9,2010,570,42,12,54,0.5,0.75,0.555555556
31,24,7,2010,570,42,12,54,0.571428571,0.583333333,0.574074074
31,23,8,2010,570,42,12,54,0.547619048,0.666666667,0.574074074
25,18,7,2010,530,42,12,54,0.428571429,0.583333333,0.462962963
30,22,8,2010,570,42,12,54,0.523809524,0.666666667,0.555555556
33,23,10,2010,590,42,12,54,0.547619048,0.833333333,0.611111111
30,22,8,2010,570,42,12,54,0.523809524,0.666666667,0.555555556
30,24,6,2010,570,42,12,54,0.571428571,0.5,0.555555556
31,24,7,2010,570,42,12,54,0.571428571,0.583333333,0.574074074
35,25,10,2010,610,42,12,54,0.595238095,0.833333333,0.648148148
26,20,6,2010,540,42,12,54,0.476190476,0.5,0.481481481
30,23,7,2010,570,42,12,54,0.547619048,0.583333333,0.555555556
27,21,6,2010,550,42,12,54,0.5,0.5,0.5
26,17,9,2010,540,42,12,54,0.404761905,0.75,0.481481481
31,22,9,2010,570,42,12,54,0.523809524,0.75,0.574074074
30,23,7,2011,570,42,12,54,0.547619048,0.583333333,0.555555556
30,23,7,2011,570,42,12,54,0.547619048,0.583333333,0.555555556
32,26,6,2011,580,42,12,54,0.619047619,0.5,0.592592593
26,21,5,2011,540,42,12,54,0.5,0.416666667,0.481481481
31,24,7,2011,570,42,12,54,0.571428571,0.583333333,0.574074074
29,22,7,2011,570,42,12,54,0.523809524,0.583333333,0.537037037
28,22,6,2011,560,42,12,54,0.523809524,0.5,0.518518519
24,18,6,2011,520,42,12,54,0.428571429,0.5,0.444444444
39,31,8,2011,640,42,12,54,0.738095238,0.666666667,0.722222222
30,23,7,2011,570,42,12,54,0.547619048,0.583333333,0.555555556
31,24,7,2011,570,42,12,54,0.571428571,0.583333333,0.574074074
29,23,6,2011,570,42,12,54,0.547619048,0.5,0.537037037
31,24,7,2011,570,42,12,54,0.571428571,0.583333333,0.574074074
31,23,8,2011,570,42,12,54,0.547619048,0.666666667,0.574074074
30,22,8,2011,570,42,12,54,0.523809524,0.666666667,0.555555556
26,20,6,2011,540,42,12,54,0.476190476,0.5,0.481481481
28,22,6,2011,560,42,12,54,0.523809524,0.5,0.518518519
